h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
a;0.20206;2.59373;-2.39167;0;5;0.0906;l;08/05/2016;L;0;0;1;0;Espanyol;La_liga;2015
a;0.227689;5.15361;-4.925921;0;5;0.0042;l;24/10/2015;L;0;0;1;0;Getafe;La_liga;2015
a;0.607458;2.65653;-2.049072;1;3;0.176;l;07/11/2015;L;0;0;1;0;Getafe;La_liga;2015
a;0.281872;4.60705;-4.325178;0;6;0.0105;l;12/03/2016;L;0;0;1;0;Getafe;La_liga;2015
h;1.0366;3.07047;-2.03387;1;5;0.2765;l;16/04/2016;L;0;0;1;0;Getafe;La_liga;2015
a;1.29875;3.52742;-2.22867;3;3;0.2532;d;13/09/2015;D;0;1;0;1;Las Palmas;La_liga;2015
a;0.585814;3.47992;-2.894106;1;2;0.0961;l;26/09/2015;L;0;0;1;0;Las Palmas;La_liga;2015
a;0.443316;2.86431;-2.420994;0;4;0.1244;l;18/10/2015;L;0;0;1;0;Las Palmas;La_liga;2015
a;0.562561;2.80269;-2.240129;1;3;0.1652;l;31/10/2015;L;0;0;1;0;Las Palmas;La_liga;2015
a;0.418437;3.85858;-3.440143;1;3;0.0365;l;06/12/2015;L;0;0;1;0;Las Palmas;La_liga;2015
a;0.273377;3.09731;-2.823933;0;2;0.0328;l;06/02/2016;L;0;0;1;0;Las Palmas;La_liga;2015
h;1.08938;3.29704;-2.20766;1;2;0.227;l;20/02/2016;L;0;0;1;0;Las Palmas;La_liga;2015
a;0.93456;5.71778;-4.78322;2;10;0.015;l;20/12/2015;L;0;0;1;0;Rayo Vallecano;La_liga;2015
h;1.17964;4.52996;-3.35032;1;5;0.058;l;04/03/2016;L;0;0;1;0;Rayo Vallecano;La_liga;2015
a;0.61804;2.69373;-2.07569;1;3;0.1768;l;04/10/2015;L;0;0;1;0;Valencia;La_liga;2015
a;0.286203;2.92204;-2.635837;1;1;0.0268;d;13/12/2015;D;0;1;0;1;Valencia;La_liga;2015
a;1.12103;4.05676;-2.93573;2;1;0.1459;w;17/04/2016;W;1;0;0;3;Valencia;La_liga;2015
a;0.728167;2.82608;-2.097913;2;2;0.1768;d;24/04/2016;D;0;1;0;1;Valencia;La_liga;2015
a;0.885303;4.44439;-3.559087;0;6;0.0595;l;17/01/2016;L;0;0;1;0;Athletic Club;La_liga;2015
a;0.532738;2.90667;-2.373932;1;2;0.0909;l;23/09/2015;L;0;0;1;0;Sporting Gijon;La_liga;2015
